abs_shift_x_mm,abs_shift_y_mm,z_mm
-0.06904802835244996,0.09207807911929991,3603.601200400133
-0.07032957480299934,0.09378706832991733,3602.3341113704564
-0.07165504563182434,0.09555463231051206,3601.0670223407797
-0.0729805164606489,0.0973221962911062,3599.799933311104
-0.07430847879755945,0.0990930827891442,3598.532844281427
-0.0756809592129035,0.10092333577810238,3597.2657552517503
-0.07705343962824758,0.10275358876706056,3595.9986662220736
-0.0784284946405056,0.10458727507546318,3594.7315771923973
-0.07984865277648655,0.1064811080541442,3593.464488162721
-0.0812688109124675,0.1083749410328252,3592.197399133044
-0.08269162764708127,0.11027231935032471,3590.9303101033674
-0.08416012394002147,0.11223061303479527,3589.663221073691
-0.08562862023296215,0.11418890671926649,3588.3961320440144
-0.08709986001729605,0.11615085895016684,3587.1290430143376
-0.08861734722797188,0.11817448382087144,3585.8619539846613
-0.09013483443864821,0.1201981086915767,3584.5948649549846
-0.09165515090276166,0.1222255064755432,3583.3277759253083
-0.09322227413865047,0.12431532280697134,3582.0606868956315
-0.09478939737453877,0.1264051391383988,3580.7935978659552
-0.09635943647352262,0.1284988438802446,3579.526508836279
-0.09797683321104968,0.13065570177059782,3578.259419806602
-0.09959422994857674,0.132812559660951,3576.9923307769254
-0.10121462998488967,0.13497342256042358,3575.725241747249
-0.10288293009167768,0.13719816196128604,3574.4581527175724
-0.10455123019846568,0.1394229013621485,3573.1910636878956
-0.10622262184427342,0.1416517634437196,3571.923974658219
-0.10794244760138931,0.14394521418972497,3570.6568856285426
-0.10966227335850576,0.14623866493573112,3569.3897965988663
-0.11138527967801466,0.1485363570783796,3568.1227075691895
-0.11315724580221934,0.15089933891688198,3566.855618539513
-0.11492921192642462,0.15326232075538518,3565.5885295098365
-0.11670444839822089,0.15562966372238712,3564.3214404801597
-0.11852916206421608,0.158062986343128,3563.054351450483
-0.12035387573021068,0.16049630896386805,3561.787262420807
-0.12218195026959672,0.16293411343258307,3560.5201733911304
-0.12406001113227173,0.16543857649735813,3559.2530843614536
-0.12593807199494672,0.16794303956213316,3557.985995331777
-0.12781958497627754,0.1704521061537909,3556.7189063021005
-0.12975158519295893,0.1730284993261208,3555.451817272424
-0.13168358540964034,0.1756048924984507,3554.184728242747
-0.1336191296886629,0.1781860118079411,3552.9176392130703
-0.13560565394136126,0.18083511478273845,3551.6505501833944
-0.13759217819406025,0.18348421775753665,3550.3834611537177
-0.13958233913024673,0.18613817038319214,3549.116372124041
-0.14162396464790655,0.18886075291643245,3547.8492830943646
-0.14366559016556704,0.19158333544967368,3546.582194064688
-0.1457109456444543,0.1943108920230598,3545.315105035011
-0.14780824222520075,0.19710771396144838,3544.048016005335
-0.14990553880594654,0.19990453589983606,3542.7809269756585
-0.15200665926147244,0.20270645711553767,3541.5138379459822
-0.15416018929485786,0.20557826842617613,3540.2467489163055
